Time,Velocity,True Position
0,1,5
0.001,1,5.001
0.002,1,5.002
0.003,1,5.003
0.004,1,5.004
0.005,1,5.005
0.006,1,5.006
0.007,1,5.007
0.008,1,5.008
0.009,1,5.009
0.01,1,5.01
0.011,1,5.011
0.012,1,5.012
0.013,1,5.013
0.014,1,5.014
0.015,1,5.015
0.016,1,5.016
0.017,1,5.017
0.018,1,5.018
0.019,1,5.019
0.02,1,5.02
0.021,1,5.021
0.022,1,5.022
0.023,1,5.023
0.024,1,5.024
0.025,1,5.025
0.026,1,5.026
0.027,1,5.027
0.028,1,5.028
0.029,1,5.029
0.03,1,5.03
0.031,1,5.031
0.032,1,5.032
0.033,1,5.033
0.034,1,5.034
0.035,1,5.035
0.036,1,5.036
0.037,1,5.037
0.038,1,5.038
0.039,1,5.039
0.04,1,5.04
0.041,1,5.041
0.042,1,5.042
0.043,1,5.043
0.044,1,5.044
0.045,1,5.045
0.046,1,5.046
0.047,1,5.047
0.048,1,5.048
0.049,1,5.049
0.05,1,5.05
0.051,1,5.051
0.052,1,5.052
0.053,1,5.053
0.054,1,5.054
0.055,1,5.055
0.056,1,5.056
0.057,1,5.057
0.058,1,5.058
0.059,1,5.059
0.06,1,5.06
0.061,1,5.061
0.062,1,5.062
0.063,1,5.063
0.064,1,5.064
0.065,1,5.065
0.066,1,5.066
0.067,1,5.067
0.068,1,5.068
0.069,1,5.069
0.07,1,5.07
0.071,1,5.071
0.072,1,5.072
0.073,1,5.073
0.074,1,5.074
0.075,1,5.075
0.076,1,5.076
0.077,1,5.077
0.078,1,5.078
0.079,1,5.079
0.08,1,5.08
0.081,1,5.081
0.082,1,5.082
0.083,1,5.083
0.084,1,5.084
0.085,1,5.085
0.086,1,5.086
0.087,1,5.087
0.088,1,5.088
0.089,1,5.089
0.09,1,5.09
0.091,1,5.091
0.092,1,5.092
0.093,1,5.093
0.094,1,5.094
0.095,1,5.095
0.096,1,5.096
0.097,1,5.097
0.098,1,5.098
0.099,1,5.099
0.1,1,5.1
0.101,1,5.101
0.102,1,5.102
0.103,1,5.103
0.104,1,5.104
0.105,1,5.105
0.106,1,5.106
0.107,1,5.107
0.108,1,5.108
0.109,1,5.109
0.11,1,5.11
0.111,1,5.111
0.112,1,5.112
0.113,1,5.113
0.114,1,5.114
0.115,1,5.115
0.116,1,5.116
0.117,1,5.117
0.118,1,5.118
0.119,1,5.119
0.12,1,5.12
0.121,1,5.121
0.122,1,5.122
0.123,1,5.123
0.124,1,5.124
0.125,1,5.125
0.126,1,5.126
0.127,1,5.127
0.128,1,5.128
0.129,1,5.129
0.13,1,5.13
0.131,1,5.131
0.132,1,5.132
0.133,1,5.133
0.134,1,5.134
0.135,1,5.135
0.136,1,5.136
0.137,1,5.137
0.138,1,5.138
0.139,1,5.139
0.14,1,5.14
0.141,1,5.141
0.142,1,5.142
0.143,1,5.143
0.144,1,5.144
0.145,1,5.145
0.146,1,5.146
0.147,1,5.147
0.148,1,5.148
0.149,1,5.149
0.15,1,5.15
0.151,1,5.151
0.152,1,5.152
0.153,1,5.153
0.154,1,5.154
0.155,1,5.155
0.156,1,5.156
0.157,1,5.157
0.158,1,5.158
0.159,1,5.159
0.16,1,5.16
0.161,1,5.161
0.162,1,5.162
0.163,1,5.163
0.164,1,5.164
0.165,1,5.165
0.166,1,5.166
0.167,1,5.167
0.168,1,5.168
0.169,1,5.169
0.17,1,5.17
0.171,1,5.171
0.172,1,5.172
0.173,1,5.173
0.174,1,5.174
0.175,1,5.175
0.176,1,5.176
0.177,1,5.177
0.178,1,5.178
0.179,1,5.179
0.18,1,5.18
0.181,1,5.181
0.182,1,5.182
0.183,1,5.183
0.184,1,5.184
0.185,1,5.185
0.186,1,5.186
0.187,1,5.187
0.188,1,5.188
0.189,1,5.189
0.19,1,5.19
0.191,1,5.191
0.192,1,5.192
0.193,1,5.193
0.194,1,5.194
0.195,1,5.195
0.196,1,5.196
0.197,1,5.197
0.198,1,5.198
0.199,1,5.199
0.2,1,5.2
0.201,1,5.201
0.202,1,5.202
0.203,1,5.203
0.204,1,5.204
0.205,1,5.205
0.206,1,5.206
0.207,1,5.207
0.208,1,5.208
0.209,1,5.209
0.21,1,5.21
0.211,1,5.211
0.212,1,5.212
0.213,1,5.213
0.214,1,5.214
0.215,1,5.215
0.216,1,5.216
0.217,1,5.217
0.218,1,5.218
0.219,1,5.219
0.22,1,5.22
0.221,1,5.221
0.222,1,5.222
0.223,1,5.223
0.224,1,5.224
0.225,1,5.225
0.226,1,5.226
0.227,1,5.227
0.228,1,5.228
0.229,1,5.229
0.23,1,5.23
0.231,1,5.231
0.232,1,5.232
0.233,1,5.233
0.234,1,5.234
0.235,1,5.235
0.236,1,5.236
0.237,1,5.237
0.238,1,5.238
0.239,1,5.239
0.24,1,5.24
0.241,1,5.241
0.242,1,5.242
0.243,1,5.243
0.244,1,5.244
0.245,1,5.245
0.246,1,5.246
0.247,1,5.247
0.248,1,5.248
0.249,1,5.249
0.25,1,5.25
0.251,1,5.251
0.252,1,5.252
0.253,1,5.253
0.254,1,5.254
0.255,1,5.255
0.256,1,5.256
0.257,1,5.257
0.258,1,5.258
0.259,1,5.259
0.26,1,5.26
0.261,1,5.261
0.262,1,5.262
0.263,1,5.263
0.264,1,5.264
0.265,1,5.265
0.266,1,5.266
0.267,1,5.267
0.268,1,5.268
0.269,1,5.269
0.27,1,5.27
0.271,1,5.271
0.272,1,5.272
0.273,1,5.273
0.274,1,5.274
0.275,1,5.275
0.276,1,5.276
0.277,1,5.277
0.278,1,5.278
0.279,1,5.279
0.28,1,5.28
0.281,1,5.281
0.282,1,5.282
0.283,1,5.283
0.284,1,5.284
0.285,1,5.285
0.286,1,5.286
0.287,1,5.287
0.288,1,5.288
0.289,1,5.289
0.29,1,5.29
0.291,1,5.291
0.292,1,5.292
0.293,1,5.293
0.294,1,5.294
0.295,1,5.295
0.296,1,5.296
0.297,1,5.297
0.298,1,5.298
0.299,1,5.299
0.3,1,5.3
0.301,1,5.301
0.302,1,5.302
0.303,1,5.303
0.304,1,5.304
0.305,1,5.305
0.306,1,5.306
0.307,1,5.307
0.308,1,5.308
0.309,1,5.309
0.31,1,5.31
0.311,1,5.311
0.312,1,5.312
0.313,1,5.313
0.314,1,5.314
0.315,1,5.315
0.316,1,5.316
0.317,1,5.317
0.318,1,5.318
0.319,1,5.319
0.32,1,5.32
0.321,1,5.321
0.322,1,5.322
0.323,1,5.323
0.324,1,5.324
0.325,1,5.325
0.326,1,5.326
0.327,1,5.327
0.328,1,5.328
0.329,1,5.329
0.33,1,5.33
0.331,1,5.331
0.332,1,5.332
0.333,1,5.333
0.334,1,5.334
0.335,1,5.335
0.336,1,5.336
0.337,1,5.337
0.338,1,5.338
0.339,1,5.339
0.34,1,5.34
0.341,1,5.341
0.342,1,5.342
0.343,1,5.343
0.344,1,5.344
0.345,1,5.345
0.346,1,5.346
0.347,1,5.347
0.348,1,5.348
0.349,1,5.349
0.35,1,5.35
0.351,1,5.351
0.352,1,5.352
0.353,1,5.353
0.354,1,5.354
0.355,1,5.355
0.356,1,5.356
0.357,1,5.357
0.358,1,5.358
0.359,1,5.359
0.36,1,5.36
0.361,1,5.361
0.362,1,5.362
0.363,1,5.363
0.364,1,5.364
0.365,1,5.365
0.366,1,5.366
0.367,1,5.367
0.368,1,5.368
0.369,1,5.369
0.37,1,5.37
0.371,1,5.371
0.372,1,5.372
0.373,1,5.373
0.374,1,5.374
0.375,1,5.375
0.376,1,5.376
0.377,1,5.377
0.378,1,5.378
0.379,1,5.379
0.38,1,5.38
0.381,1,5.381
0.382,1,5.382
0.383,1,5.383
0.384,1,5.384
0.385,1,5.385
0.386,1,5.386
0.387,1,5.387
0.388,1,5.388
0.389,1,5.389
0.39,1,5.39
0.391,1,5.391
0.392,1,5.392
0.393,1,5.393
0.394,1,5.394
0.395,1,5.395
0.396,1,5.396
0.397,1,5.397
0.398,1,5.398
0.399,1,5.399
0.4,1,5.4
0.401,1,5.401
0.402,1,5.402
0.403,1,5.403
0.404,1,5.404
0.405,1,5.405
0.406,1,5.406
0.407,1,5.407
0.408,1,5.408
0.409,1,5.409
0.41,1,5.41
0.411,1,5.411
0.412,1,5.412
0.413,1,5.413
0.414,1,5.414
0.415,1,5.415
0.416,1,5.416
0.417,1,5.417
0.418,1,5.418
0.419,1,5.419
0.42,1,5.42
0.421,1,5.421
0.422,1,5.422
0.423,1,5.423
0.424,1,5.424
0.425,1,5.425
0.426,1,5.426
0.427,1,5.427
0.428,1,5.428
0.429,1,5.429
0.43,1,5.43
0.431,1,5.431
0.432,1,5.432
0.433,1,5.433
0.434,1,5.434
0.435,1,5.435
0.436,1,5.436
0.437,1,5.437
0.438,1,5.438
0.439,1,5.439
0.44,1,5.44
0.441,1,5.441
0.442,1,5.442
0.443,1,5.443
0.444,1,5.444
0.445,1,5.445
0.446,1,5.446
0.447,1,5.447
0.448,1,5.448
0.449,1,5.449
0.45,1,5.45
0.451,1,5.451
0.452,1,5.452
0.453,1,5.453
0.454,1,5.454
0.455,1,5.455
0.456,1,5.456
0.457,1,5.457
0.458,1,5.458
0.459,1,5.459
0.46,1,5.46
0.461,1,5.461
0.462,1,5.462
0.463,1,5.463
0.464,1,5.464
0.465,1,5.465
0.466,1,5.466
0.467,1,5.467
0.468,1,5.468
0.469,1,5.469
0.47,1,5.47
0.471,1,5.471
0.472,1,5.472
0.473,1,5.473
0.474,1,5.474
0.475,1,5.475
0.476,1,5.476
0.477,1,5.477
0.478,1,5.478
0.479,1,5.479
0.48,1,5.48
0.481,1,5.481
0.482,1,5.482
0.483,1,5.483
0.484,1,5.484
0.485,1,5.485
0.486,1,5.486
0.487,1,5.487
0.488,1,5.488
0.489,1,5.489
0.49,1,5.49
0.491,1,5.491
0.492,1,5.492
0.493,1,5.493
0.494,1,5.494
0.495,1,5.495
0.496,1,5.496
0.497,1,5.497
0.498,1,5.498
0.499,1,5.499
0.5,1,5.5
0.501,1,5.501
0.502,1,5.502
0.503,1,5.503
0.504,1,5.504
0.505,1,5.505
0.506,1,5.506
0.507,1,5.507
0.508,1,5.508
0.509,1,5.509
0.51,1,5.51
0.511,1,5.511
0.512,1,5.512
0.513,1,5.513
0.514,1,5.514
0.515,1,5.515
0.516,1,5.516
0.517,1,5.517
0.518,1,5.518
0.519,1,5.519
0.52,1,5.52
0.521,1,5.521
0.522,1,5.522
0.523,1,5.523
0.524,1,5.524
0.525,1,5.525
0.526,1,5.526
0.527,1,5.527
0.528,1,5.528
0.529,1,5.529
0.53,1,5.53
0.531,1,5.531
0.532,1,5.532
0.533,1,5.533
0.534,1,5.534
0.535,1,5.535
0.536,1,5.536
0.537,1,5.537
0.538,1,5.538
0.539,1,5.539
0.54,1,5.54
0.541,1,5.541
0.542,1,5.542
0.543,1,5.543
0.544,1,5.544
0.545,1,5.545
0.546,1,5.546
0.547,1,5.547
0.548,1,5.548
0.549,1,5.549
0.55,1,5.55
0.551,1,5.551
0.552,1,5.552
0.553,1,5.553
0.554,1,5.554
0.555,1,5.555
0.556,1,5.556
0.557,1,5.557
0.558,1,5.558
0.559,1,5.559
0.56,1,5.56
0.561,1,5.561
0.562,1,5.562
0.563,1,5.563
0.564,1,5.564
0.565,1,5.565
0.566,1,5.566
0.567,1,5.567
0.568,1,5.568
0.569,1,5.569
0.57,1,5.57
0.571,1,5.571
0.572,1,5.572
0.573,1,5.573
0.574,1,5.574
0.575,1,5.575
0.576,1,5.576
0.577,1,5.577
0.578,1,5.578
0.579,1,5.579
0.58,1,5.58
0.581,1,5.581
0.582,1,5.582
0.583,1,5.583
0.584,1,5.584
0.585,1,5.585
0.586,1,5.586
0.587,1,5.587
0.588,1,5.588
0.589,1,5.589
0.59,1,5.59
0.591,1,5.591
0.592,1,5.592
0.593,1,5.593
0.594,1,5.594
0.595,1,5.595
0.596,1,5.596
0.597,1,5.597
0.598,1,5.598
0.599,1,5.599
0.6,1,5.6
0.601,1,5.601
0.602,1,5.602
0.603,1,5.603
0.604,1,5.604
0.605,1,5.605
0.606,1,5.606
0.607,1,5.607
0.608,1,5.608
0.609,1,5.609
0.61,1,5.61
0.611,1,5.611
0.612,1,5.612
0.613,1,5.613
0.614,1,5.614
0.615,1,5.615
0.616,1,5.616
0.617,1,5.617
0.618,1,5.618
0.619,1,5.619
0.62,1,5.62
0.621,1,5.621
0.622,1,5.622
0.623,1,5.623
0.624,1,5.624
0.625,1,5.625
0.626,1,5.626
0.627,1,5.627
0.628,1,5.628
0.629,1,5.629
0.63,1,5.63
0.631,1,5.631
0.632,1,5.632
0.633,1,5.633
0.634,1,5.634
0.635,1,5.635
0.636,1,5.636
0.637,1,5.637
0.638,1,5.638
0.639,1,5.639
0.64,1,5.64
0.641,1,5.641
0.642,1,5.642
0.643,1,5.643
0.644,1,5.644
0.645,1,5.645
0.646,1,5.646
0.647,1,5.647
0.648,1,5.648
0.649,1,5.649
0.65,1,5.65
0.651,1,5.651
0.652,1,5.652
0.653,1,5.653
0.654,1,5.654
0.655,1,5.655
0.656,1,5.656
0.657,1,5.657
0.658,1,5.658
0.659,1,5.659
0.66,1,5.66
0.661,1,5.661
0.662,1,5.662
0.663,1,5.663
0.664,1,5.664
0.665,1,5.665
0.666,1,5.666
0.667,1,5.667
0.668,1,5.668
0.669,1,5.669
0.67,1,5.67
0.671,1,5.671
0.672,1,5.672
0.673,1,5.673
0.674,1,5.674
0.675,1,5.675
0.676,1,5.676
0.677,1,5.677
0.678,1,5.678
0.679,1,5.679
0.68,1,5.68
0.681,1,5.681
0.682,1,5.682
0.683,1,5.683
0.684,1,5.684
0.685,1,5.685
0.686,1,5.686
0.687,1,5.687
0.688,1,5.688
0.689,1,5.689
0.69,1,5.69
0.691,1,5.691
0.692,1,5.692
0.693,1,5.693
0.694,1,5.694
0.695,1,5.695
0.696,1,5.696
0.697,1,5.697
0.698,1,5.698
0.699,1,5.699
0.7,1,5.7
0.701,1,5.701
0.702,1,5.702
0.703,1,5.703
0.704,1,5.704
0.705,1,5.705
0.706,1,5.706
0.707,1,5.707
0.708,1,5.708
0.709,1,5.709
0.71,1,5.71
0.711,1,5.711
0.712,1,5.712
0.713,1,5.713
0.714,1,5.714
0.715,1,5.715
0.716,1,5.716
0.717,1,5.717
0.718,1,5.718
0.719,1,5.719
0.72,1,5.72
0.721,1,5.721
0.722,1,5.722
0.723,1,5.723
0.724,1,5.724
0.725,1,5.725
0.726,1,5.726
0.727,1,5.727
0.728,1,5.728
0.729,1,5.729
0.73,1,5.73
0.731,1,5.731
0.732,1,5.732
0.733,1,5.733
0.734,1,5.734
0.735,1,5.735
0.736,1,5.736
0.737,1,5.737
0.738,1,5.738
0.739,1,5.739
0.74,1,5.74
0.741,1,5.741
0.742,1,5.742
0.743,1,5.743
0.744,1,5.744
0.745,1,5.745
0.746,1,5.746
0.747,1,5.747
0.748,1,5.748
0.749,1,5.749
0.75,1,5.75
0.751,1,5.751
0.752,1,5.752
0.753,1,5.753
0.754,1,5.754
0.755,1,5.755
0.756,1,5.756
0.757,1,5.757
0.758,1,5.758
0.759,1,5.759
0.76,1,5.76
0.761,1,5.761
0.762,1,5.762
0.763,1,5.763
0.764,1,5.764
0.765,1,5.765
0.766,1,5.766
0.767,1,5.767
0.768,1,5.768
0.769,1,5.769
0.77,1,5.77
0.771,1,5.771
0.772,1,5.772
0.773,1,5.773
0.774,1,5.774
0.775,1,5.775
0.776,1,5.776
0.777,1,5.777
0.778,1,5.778
0.779,1,5.779
0.78,1,5.78
0.781,1,5.781
0.782,1,5.782
0.783,1,5.783
0.784,1,5.784
0.785,1,5.785
0.786,1,5.786
0.787,1,5.787
0.788,1,5.788
0.789,1,5.789
0.79,1,5.79
0.791,1,5.791
0.792,1,5.792
0.793,1,5.793
0.794,1,5.794
0.795,1,5.795
0.796,1,5.796
0.797,1,5.797
0.798,1,5.798
0.799,1,5.799
0.8,1,5.8
0.801,1,5.801
0.802,1,5.802
0.803,1,5.803
0.804,1,5.804
0.805,1,5.805
0.806,1,5.806
0.807,1,5.807
0.808,1,5.808
0.809,1,5.809
0.81,1,5.81
0.811,1,5.811
0.812,1,5.812
0.813,1,5.813
0.814,1,5.814
0.815,1,5.815
0.816,1,5.816
0.817,1,5.817
0.818,1,5.818
0.819,1,5.819
0.82,1,5.82
0.821,1,5.821
0.822,1,5.822
0.823,1,5.823
0.824,1,5.824
0.825,1,5.825
0.826,1,5.826
0.827,1,5.827
0.828,1,5.828
0.829,1,5.829
0.83,1,5.83
0.831,1,5.831
0.832,1,5.832
0.833,1,5.833
0.834,1,5.834
0.835,1,5.835
0.836,1,5.836
0.837,1,5.837
0.838,1,5.838
0.839,1,5.839
0.84,1,5.84
0.841,1,5.841
0.842,1,5.842
0.843,1,5.843
0.844,1,5.844
0.845,1,5.845
0.846,1,5.846
0.847,1,5.847
0.848,1,5.848
0.849,1,5.849
0.85,1,5.85
0.851,1,5.851
0.852,1,5.852
0.853,1,5.853
0.854,1,5.854
0.855,1,5.855
0.856,1,5.856
0.857,1,5.857
0.858,1,5.858
0.859,1,5.859
0.86,1,5.86
0.861,1,5.861
0.862,1,5.862
0.863,1,5.863
0.864,1,5.864
0.865,1,5.865
0.866,1,5.866
0.867,1,5.867
0.868,1,5.868
0.869,1,5.869
0.87,1,5.87
0.871,1,5.871
0.872,1,5.872
0.873,1,5.873
0.874,1,5.874
0.875,1,5.875
0.876,1,5.876
0.877,1,5.877
0.878,1,5.878
0.879,1,5.879
0.88,1,5.88
0.881,1,5.881
0.882,1,5.882
0.883,1,5.883
0.884,1,5.884
0.885,1,5.885
0.886,1,5.886
0.887,1,5.887
0.888,1,5.888
0.889,1,5.889
0.89,1,5.89
0.891,1,5.891
0.892,1,5.892
0.893,1,5.893
0.894,1,5.894
0.895,1,5.895
0.896,1,5.896
0.897,1,5.897
0.898,1,5.898
0.899,1,5.899
0.9,1,5.9
0.901,1,5.901
0.902,1,5.902
0.903,1,5.903
0.904,1,5.904
0.905,1,5.905
0.906,1,5.906
0.907,1,5.907
0.908,1,5.908
0.909,1,5.909
0.91,1,5.91
0.911,1,5.911
0.912,1,5.912
0.913,1,5.913
0.914,1,5.914
0.915,1,5.915
0.916,1,5.916
0.917,1,5.917
0.918,1,5.918
0.919,1,5.919
0.92,1,5.92
0.921,1,5.921
0.922,1,5.922
0.923,1,5.923
0.924,1,5.924
0.925,1,5.925
0.926,1,5.926
0.927,1,5.927
0.928,1,5.928
0.929,1,5.929
0.93,1,5.93
0.931,1,5.931
0.932,1,5.932
0.933,1,5.933
0.934,1,5.934
0.935,1,5.935
0.936,1,5.936
0.937,1,5.937
0.938,1,5.938
0.939,1,5.939
0.94,1,5.94
0.941,1,5.941
0.942,1,5.942
0.943,1,5.943
0.944,1,5.944
0.945,1,5.945
0.946,1,5.946
0.947,1,5.947
0.948,1,5.948
0.949,1,5.949
0.95,1,5.95
0.951,1,5.951
0.952,1,5.952
0.953,1,5.953
0.954,1,5.954
0.955,1,5.955
0.956,1,5.956
0.957,1,5.957
0.958,1,5.958
0.959,1,5.959
0.96,1,5.96
0.961,1,5.961
0.962,1,5.962
0.963,1,5.963
0.964,1,5.964
0.965,1,5.965
0.966,1,5.966
0.967,1,5.967
0.968,1,5.968
0.969,1,5.969
0.97,1,5.97
0.971,1,5.971
0.972,1,5.972
0.973,1,5.973
0.974,1,5.974
0.975,1,5.975
0.976,1,5.976
0.977,1,5.977
0.978,1,5.978
0.979,1,5.979
0.98,1,5.98
0.981,1,5.981
0.982,1,5.982
0.983,1,5.983
0.984,1,5.984
0.985,1,5.985
0.986,1,5.986
0.987,1,5.987
0.988,1,5.988
0.989,1,5.989
0.99,1,5.99
0.991,1,5.991
0.992,1,5.992
0.993,1,5.993
0.994,1,5.994
0.995,1,5.995
0.996,1,5.996
0.997,1,5.997
0.998,1,5.998
0.999,1,5.999
1,1,6
